srcChain,dstChain,defaultExecutorConfig.maxMessageSize,defaultExecutorConfig.executorAddress,,executorConfig.maxMessageSize,executorConfig.executorAddress
ethereum,fraxtal,10000,0x173272739Bd7Aa6e4e214714048a9fE699453059,,0,0x0000000000000000000000000000000000000000
ethereum,blast,10000,0x173272739Bd7Aa6e4e214714048a9fE699453059,,0,0x0000000000000000000000000000000000000000
fraxtal,ethereum,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,base,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,blast,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,mode,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,sei,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,xlayer,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,sonic,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,ink,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,arbitrum,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,optimism,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,polygon,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,avalanche,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,bnb,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,zkevm,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,zksync,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,abstract,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
fraxtal,berachain,10000,0x41Bdb4aa4A63a5b2Efc531858d3118392B1A1C3d,,0,0x0000000000000000000000000000000000000000
